col.id	experimental.group	value.type	display.order
std_name	meta	string	1
Tree_order	phylo	numeric	2
Clade	phylo	factor	3
WineSubclades	phylo	factor	4
Clade_class	phylo	factor	5
Single_strain_class	ecology	factor	6
Ecological_origins	ecology	factor	7
Freq_1n_cells	dna	numeric	8
Mean_DNAcontent_single_cells	dna	numeric	9
Mean_DNAcontent_1n_cells	dna	numeric	10
ITS.content	dna	numeric	11
Y.copies	dna	numeric	12
Telomere.length	dna	numeric	13
Ploidy	copy_number	numeric	14
N_aneuploidies	copy_number	numeric	15
EUP_ANEU	copy_number	factor	16
HOM_HET	copy_number	factor	17
Mitochondrial.volume.YPEG	mitochondria	numeric	18
Mitochondrial.volume.YPD	mitochondria	numeric	19
Mitochondrial.activity.YPEG	mitochondria	numeric	20
Mitochondrial.activity.YPD	mitochondria	numeric	21
mtDNA_CN_PLOIDY	mitochondria	numeric	22
mtDNA_ratio	mitochondria	numeric	23
Freq_Non_flocculating	cell	numeric	24
Mean_size_single_cells	cell	numeric	25
Mean_size_1n_cells	cell	numeric	26
Median_size_single_cells	cell	numeric	27
Median_size_1n_cells	cell	numeric	28
CLS_WATERday8	lifespan	numeric	29
CLS_WATERday20	lifespan	numeric	30
CLS_RM7	lifespan	numeric	31
CLS_RM21	lifespan	numeric	32
CLS_RM35	lifespan	numeric	33
CLS_SDCday7	lifespan	numeric	34
CLS_SDCday21	lifespan	numeric	35
CLS_SDCday35	lifespan	numeric	36
CLS_CRday7	lifespan	numeric	37
CLS_CRday21	lifespan	numeric	38
CLS_CRday35	lifespan	numeric	39
Sporulation_in_water	sporulation	numeric	40
Asci_24_hours	sporulation	numeric	41
Asci_72_hours	sporulation	numeric	42
Dyads_24_hours	sporulation	numeric	43
Dyads_72_hours	sporulation	numeric	44
Anaerobic_growth_48H	tx_physical	numeric	45
Nitrogen_starvation_48H	tx_physical	numeric	46
aa_starvation_48H	tx_physical	numeric	47
X20C_48H	tx_physical	numeric	48
X20C_72H	tx_physical	numeric	49
X39C_48H	tx_physical	numeric	50
X39C_72H	tx_physical	numeric	51
X42C_48H	tx_physical	numeric	52
X42C_72H	tx_physical	numeric	53
YPD14_40h	tx_physical	numeric	54
YPD40_40h	tx_physical	numeric	55
