std_name,StrainName,Reference,SRA,Clade,ecological_value,eco_cat1,eco_cat2,eco_cat3
AAA,RM11-1a,Peter et al. 2018,ERR1309487,6. West Europe Wine,Wine,Wine,Brewery,Food
AAB,CBS422a,Peter et al. 2018,ERR1308784,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AAC,CBS2165a,Peter et al. 2018,ERR1309038,19. UK Beer,Beer,Beer,Brewery,Food
AAD,CBS436a,Peter et al. 2018,ERR1308805,29. Sake,Sake,Sake,Distillary,Food
AAE,CBS2806a,Peter et al. 2018,ERR1309410,5. Georgian Wine,Wine,Wine,Brewery,Food
AAG,CBS428a,Peter et al. 2018,ERR1308974,NA,NA,NA,NA,NA
AAH,CBS1388a,Peter et al. 2018,ERR1309088,NA,NA,NA,NA,NA
AAI,CBS2966a,Peter et al. 2018,ERR1309457,1. AU Wine 1,Distillery,NA,Distilery,Food
AAK,CBS4093a,Peter et al. 2018,ERR1308664,5. Georgian Wine,Wine,Wine,Brewery,Food
AAL,CBS1236-a,Peter et al. 2018,ERR1309297,20. Mixed Origins 1,Bakery,NA,Baking,Food
AAM,CLIB192_1b,Peter et al. 2018,ERR1308737,20. Mixed Origins 1,Bakery,NA,Baking,Food
AAN,CLIB274_1,Peter et al. 2018,ERR1308608,20. Mixed Origins 1,Bakery,NA,Baking,Food
AAP,CLIB326_1,Peter et al. 2018,ERR1309494,20. Mixed Origins 1,Bakery,NA,Baking,Food
AAQ,CLIB272_2,Peter et al. 2018,ERR1309237,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AAR,CLIB382_1b,Peter et al. 2018,ERR1308657,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AAS,YJM145_b,Peter et al. 2018,ERR1309268,25. US Clinical 1,Human_clinical,NA,Human,Clinical
AAT,YJM280_b,Peter et al. 2018,ERR1308747,25. US Clinical 1,Human_clinical,NA,Human,Clinical
AAV,YJM320b,Peter et al. 2018,ERR1309414,25. US Clinical 1,Human_clinical,NA,Human,Clinical
ABA,YJM326_b,Peter et al. 2018,ERR1308820,NA,Human_clinical,NA,Human,Clinical
ABB,YJM413_b,Peter et al. 2018,ERR1308725,30. Mantou,Human_clinical,NA,Human,Clinical
ABC,YJM421_b,Peter et al. 2018,ERR1309192,32. US Clinical 3,Human_clinical,NA,Human,Clinical
ABD,YJM428_1b,Peter et al. 2018,ERR1309216,NA,Human_clinical,NA,Human,Clinical
ABE,YJM434_1b,Peter et al. 2018,ERR1309094,1. AU Wine 1,Human_clinical,NA,Human,Clinical
ABF,YJM436_1b,Peter et al. 2018,ERR1308756,NA,Human_clinical,NA,Human,Clinical
ABG,YJM440_1b,Peter et al. 2018,ERR1308928,25. US Clinical 1,Human_clinical,NA,Human,Clinical
ABH,YJM454_1b,Peter et al. 2018,ERR1309451,NA,Human_clinical,NA,Human,Clinical
ABI,YJM653_1b,Peter et al. 2018,ERR1309242,25. US Clinical 1,Human_clinical,NA,Human,Clinical
ABK,YJM678_1b,Peter et al. 2018,ERR1309051,25. US Clinical 1,Human_clinical,NA,Human,Clinical
ABL,CBS2888_1b,Peter et al. 2018,ERR1309450,36. North American Wild,Soil,NA,Soil,Environmental
ABM,CBS3093_1b,Peter et al. 2018,ERR1309305,3. Alpechin,Industrial,NA,Industrial,Industrial
ABP,CECT10109_1b,Peter et al. 2018,ERR1309483,7. AU Wine 3,Fruit,NA,Fruit,Plant
ABQ,DBVPG1788_1b,Peter et al. 2018,ERR1309108,1. AU Wine 1,Soil,NA,Soil,Environmental
ABR,DBVPG1794_1b,Peter et al. 2018,ERR1308614,1. AU Wine 1,Soil,NA,Soil,Environmental
ABS,DBVPG3591_1b,Peter et al. 2018,ERR1309033,6. West Europe Wine,Nature,NA,NA,Environmental
ABT,DBVPG4651_1b,Peter et al. 2018,ERR1308686,7. AU Wine 3,Nature,NA,NA,Environmental
ABV,DBVPG6861,Peter et al. 2018,ERR1308582,20. Mixed Origins 1,Water,NA,Water,Environmental
ACA,EM93_3,Peter et al. 2018,ERR1309429,24. Lab Strains,Fruit,NA,Fruit,Plant
ACB,TL229S2.2,Peter et al. 2018,ERR1308825,24. Lab Strains,Dairy,NA,Dairy,Food
ACC,YPS1000_1b,Peter et al. 2018,ERR1308993,34. South American Wild,Tree,NA,Tree,Plant
ACD,YPS163_1b,Peter et al. 2018,ERR1308915,39. Asian Oak,Tree,NA,Tree,Plant
ACF,CLIB294_1b,Peter et al. 2018,ERR1309423,1. AU Wine 1,Distillery,NA,Distilery,Food
ACG,CLIB413_1b,Peter et al. 2018,ERR1309431,NA,Fermentation,NA,Fermentation,Food
ACH,CLIB483_1b,Peter et al. 2018,ERR1309194,NA,Cider,Cider,Brewery,Food
ACI,Y10_1b,Peter et al. 2018,ERR1309154,NA,Fruit,NA,Fruit,Plant
ACK,Y12_1b,Peter et al. 2018,ERR1308893,30. Mantou,Palm wine,Palm Wine,Brewery,Food
ACL,Y3_1b,Peter et al. 2018,ERR1309459,NA,Palm wine,Palm Wine,Brewery,Food
ACM,Y9_4,Peter et al. 2018,ERR1308607,30. Mantou,Fermentation,NA,Fermentation,Food
ACN,YJM269_1b,Peter et al. 2018,ERR1308890,24. Lab Strains,Wine,Wine,Brewery,Food
ACP,CLIB154_1b,Peter et al. 2018,ERR1308665,1. AU Wine 1,Wine,Wine,Brewery,Food
ACQ,CLIB219_2b,Peter et al. 2018,ERR1308618,35. Chinese Wild,Wine,Wine,Brewery,Food
ACR,DBVPG1339_1b,Peter et al. 2018,ERR1309466,6. West Europe Wine,Wine,Wine,Brewery,Food
ACS,I14_1b,Peter et al. 2018,ERR1309144,NA,Wine,Wine,Brewery,Food
ACT,UC8_1b,Peter et al. 2018,ERR1308791,7. AU Wine 3,Wine,Wine,Brewery,Food
ACV,WE372_1b,Peter et al. 2018,ERR1308596,7. AU Wine 3,Wine,Wine,Brewery,Food
ADA,Y55_1b,Peter et al. 2018,ERR1309427,NA,Wine,Wine,Brewery,Food
ADB,Y9J_1b,Peter et al. 2018,ERR1309415,7. AU Wine 3,Wine,Wine,Brewery,Food
ADC,UC1_1b,Peter et al. 2018,ERR1308809,6. West Europe Wine,Wine,Wine,Brewery,Food
ADD,IL_01_b,Peter et al. 2018,ERR1308917,7. AU Wine 3,Soil,NA,Soil,Environmental
ADE,PW5_b,Peter et al. 2018,ERR1309020,22. French Guiana Human,Palm wine,Palm Wine,Brewery,Food
ADF,YPS1009_b,Peter et al. 2018,ERR1309089,33. African Palm Wine,Tree,NA,Tree,Plant
ADG,NC_02_b,Peter et al. 2018,ERR1308685,36. North American Wild,Tree,NA,Tree,Plant
ADH,T7_b,Peter et al. 2018,ERR1309064,30. Mantou,Tree,NA,Tree,Plant
ADI,YJM981_b,Peter et al. 2018,ERR1308593,7. AU Wine 3,Human_clinical,NA,Human,Clinical
ADK,CLIB208_1,Peter et al. 2018,ERR1308807,NA,Bakery,NA,Baking,Food
ADL,CLIB318_1,Peter et al. 2018,ERR1309122,21. Mixed Origins 2,Bakery,NA,Baking,Food
ADM,CLIB324_2,Peter et al. 2018,ERR1309212,21. Mixed Origins 2,Bakery,NA,Baking,Food
ADN,K1_1,Peter et al. 2018,ERR1309159,29. Sake,Sake,Sake,Distillary,Food
ADP,Y6_b,Peter et al. 2018,ERR1308698,20. Mixed Origins 1,NA,NA,NA,NA
ADQ,K12_2,Peter et al. 2018,ERR1309029,29. Sake,Sake,Sake,Distillary,Food
ADR,M22_1b,Peter et al. 2018,ERR1308788,8. AU Wine 4,Wine,Wine,Brewery,Food
ADS,T73_1b,Peter et al. 2018,ERR1309526,6. West Europe Wine,Wine,Wine,Brewery,Food
ADT,CBS7765,Peter et al. 2018,ERR1309028,24. Lab Strains,Nature,NA,NA,Environmental
ADV,CBS7903,Peter et al. 2018,ERR1309484,33. African Palm Wine,Palm wine,Palm Wine,Brewery,Food
AEA,CBS7958,Peter et al. 2018,ERR1309406,12. Belgium Beer 1,Industrial,NA,Industrial,Industrial
AEB,CBS1171,Peter et al. 2018,ERR1309300,18. Belgium Beer 2,Beer,Beer,Brewery,Food
AEC,CBS1248,Peter et al. 2018,ERR1309314,19. UK Beer,Beer,Beer,Brewery,Food
AEE,CBS2441,Peter et al. 2018,ERR1309047,NA,Distillery,NA,Distilery,Food
AEF,CBS6414,Peter et al. 2018,ERR1308873,29. Sake,Sake,Sake,Distillary,Food
AEG,CBS7962,Peter et al. 2018,ERR1308731,11. Brazilian Bioethanol,Industrial,NA,Industrial,Industrial
AEH,CBS7964,Peter et al. 2018,ERR1308847,11. Brazilian Bioethanol,Industrial,NA,Industrial,Industrial
AEI,CBS1428,Peter et al. 2018,ERR1308980,NA,Bakery,NA,Baking,Food
AEK,CBS4079,Peter et al. 2018,ERR1308639,5. Georgian Wine,Wine,Wine,Brewery,Food
AEL,CBS1394,Peter et al. 2018,ERR1309101,NA,Distillery,NA,Distilery,Food
AEM,CBS2973,Peter et al. 2018,ERR1308627,20. Mixed Origins 1,Beer,Beer,Brewery,Food
AEN,CBS4454,Peter et al. 2018,ERR1309076,15. African Beer,Beer,Beer,Brewery,Food
AEP,CBS1508,Peter et al. 2018,ERR1309160,30. Mantou,Distillery,NA,Distilery,Food
AEQ,CBS1782,Peter et al. 2018,ERR1309512,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AER,CBS2970,Peter et al. 2018,ERR1309522,NA,Industrial,NA,Industrial,Industrial
AES,CBS4054,Peter et al. 2018,ERR1309368,5. Georgian Wine,Wine,Wine,Brewery,Food
AET,CBS6007,Peter et al. 2018,ERR1308679,5. Georgian Wine,Wine,Wine,Brewery,Food
AEV,CBS6216,Peter et al. 2018,ERR1308650,NA,Water,NA,Water,Environmental
AFA,CBS6503,Peter et al. 2018,ERR1309420,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AFB,CBS7371,Peter et al. 2018,ERR1308680,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AFC,CBS7764,Peter et al. 2018,ERR1309327,20. Mixed Origins 1,Fruit,NA,Fruit,Plant
AFD,CBS7960,Peter et al. 2018,ERR1308983,11. Brazilian Bioethanol,Industrial,NA,Industrial,Industrial
AFE,CBS8291,Peter et al. 2018,ERR1309127,20. Mixed Origins 1,Water,NA,Water,Environmental
AFF,CBS1252,Peter et al. 2018,ERR1309131,NA,Bakery,NA,Baking,Food
AFG,CBS1387,Peter et al. 2018,ERR1309145,NA,Bakery,NA,Baking,Food
AFH,CBS1509,Peter et al. 2018,ERR1309521,30. Mantou,Distillery,NA,Distilery,Food
AFI,CBS2183,Peter et al. 2018,ERR1309513,5. Georgian Wine,Wine,Wine,Brewery,Food
AFK,CBS2992,Peter et al. 2018,ERR1308753,38. Taiwan Wild 2,Palm wine,Palm Wine,Brewery,Food
AFL,CBS4456,Peter et al. 2018,ERR1308843,15. African Beer,Beer,Beer,Brewery,Food
AFM,CBS6412,Peter et al. 2018,ERR1308937,29. Sake,Sake,Sake,Distillary,Food
AFN,CBS6413,Peter et al. 2018,ERR1309509,29. Sake,Sake,Sake,Distillary,Food
AFP,CBS6505,Peter et al. 2018,ERR1309364,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AFQ,CBS7993,Peter et al. 2018,ERR1308647,NA,Water,NA,Water,Environmental
AFR,CBS7959,Peter et al. 2018,ERR1309137,11. Brazilian Bioethanol,Industrial,NA,Industrial,Industrial
AFS,CBS1173,Peter et al. 2018,ERR1309114,NA,Fruit,NA,Fruit,Plant
AFT,CBS1464,Peter et al. 2018,ERR1308987,20. Mixed Origins 1,Human_clinical,NA,Human,Clinical
AFV,CBS2814,Peter et al. 2018,ERR1308598,5. Georgian Wine,Wine,Wine,Brewery,Food
AGA,CBS3012,Peter et al. 2018,ERR1308814,7. AU Wine 3,Wine,Wine,Brewery,Food
AGB,CBS6308,Peter et al. 2018,ERR1308892,19. UK Beer,Beer,Beer,Brewery,Food
AGC,CBS2444,Peter et al. 2018,ERR1309000,NA,Distillery,NA,Distilery,Food
AGE,CBS1385,Peter et al. 2018,ERR1309444,20. Mixed Origins 1,Bakery,NA,Baking,Food
AGF,CBS1479,Peter et al. 2018,ERR1309486,1. AU Wine 1,Wine,Wine,Brewery,Food
AGG,CBS1480,Peter et al. 2018,ERR1308790,30. Mantou,Distillery,NA,Distilery,Food
AGH,CBS1582,Peter et al. 2018,ERR1309035,1. AU Wine 1,Wine,Wine,Brewery,Food
AGI,CBS1590,Peter et al. 2018,ERR1308800,1. AU Wine 1,Wine,Wine,Brewery,Food
