std_name,StrainName,Reference,SRA,Clade,geographic_value,city_region_value,province_state_value,country_value,geo_cc,geo_country,geo_region,geo_lat,geo_lon,geo_label
BSR,L-958,Peter et al. 2018,ERR1308588,4. Commercial Wine,Mendoza area_Argentina,NA,Mendoza area,Argentina,ARG,Argentina,Latin America and the Caribbean,-35.48521,-62.9807,"Mendoza area, Argentina, South America"
BSS,L-960,Peter et al. 2018,ERR1308818,4. Commercial Wine,Mendoza area_Argentina,NA,Mendoza area,Argentina,ARG,Argentina,Latin America and the Caribbean,-35.48521,-62.9807,"Mendoza area, Argentina, South America"
BST,L-962,Peter et al. 2018,ERR1308635,8. AU Wine 4,Mendoza area_Argentina,NA,Mendoza area,Argentina,ARG,Argentina,Latin America and the Caribbean,-35.48521,-62.9807,"Mendoza area, Argentina, South America"
AQC,CBS5155,Peter et al. 2018,ERR1308897,5. Georgian Wine,South Armenia,NA,NA,Armenia,ARM,Armenia,Western Asia,40.27725819,44.33726291,"Armenia, Europe"
AAP,CLIB326_1,Peter et al. 2018,ERR1309494,20. Mixed Origins 1,Australia,NA,NA,Australia,AUS,Australia,Australia and New Zealand,-34.7819,138.49675,"Australia, Oceania"
BHB,CLIB889,Peter et al. 2018,ERR1308877,4. Commercial Wine,Australia,NA,NA,Australia,AUS,Australia,Australia and New Zealand,-34.7819,138.49675,"Australia, Oceania"
BIH,DBVPG1105,Peter et al. 2018,ERR1309428,6. West Europe Wine,Adelaide_Australia,NA,Adelaide,Australia,AUS,Australia,Australia and New Zealand,-34.7819,138.49675,"Adelaide, Australia, Oceania"
BII,DBVPG1106,Peter et al. 2018,ERR1308846,1. AU Wine 1,Australia,NA,NA,Australia,AUS,Australia,Australia and New Zealand,-34.7819,138.49675,"Australia, Oceania"
BIK,DBVPG1107,Peter et al. 2018,ERR1309245,6. West Europe Wine,McLaren Valley_Australia,NA,McLaren Valley,Australia,AUS,Australia,Australia and New Zealand,-35.21548,138.5381,"McLaren Valley, Australia, Oceania"
BIL,DBVPG1108,Peter et al. 2018,ERR1309475,6. West Europe Wine,Australia,NA,NA,Australia,AUS,Australia,Australia and New Zealand,-34.7819,138.49675,"Australia, Oceania"
XTRA_DKK,AWRI170,Borneman et al. 2016,SRR2967836,7. AU Wine 3,Australia,NA,NA,Australia,AUS,Australia,Australia and New Zealand,-34.7819,138.49675,"Australia, Oceania"
XTRA_DKL,AWRI213,Borneman et al. 2016,SRR2967837,7. AU Wine 3,Australia,NA,NA,Australia,AUS,Australia,Australia and New Zealand,-34.7819,138.49675,"Australia, Oceania"
