plate384,row384,col384,strain,name
1,1,1,ABS,DBVPG3591_1b
1,2,1,ABK,YJM678_1b
1,3,1,CEB,DBVPG1619-4B
1,4,1,AHL,CBS3081
1,5,1,BFG,EXF-5869
1,6,1,CPS,FTPW4
1,7,1,AMN,SJ5L13
1,8,1,CNR,SA.10.1.VR4
1,9,1,ABD,YJM428_1b
1,10,1,AFC,CBS7764
1,11,1,ARP,CBS2270
1,12,1,BAN,HN15
1,13,1,BCB,HE001
1,14,1,BDN,MAJ_G
1,15,1,BCH,HE009
1,16,1,CDV,DBVPG1616-1D
1,1,2,ABE,YJM434_1b
1,2,2,AAM,CLIB192_1b
1,3,2,AHI,CBS6914
1,4,2,AGP,CBS1544
1,5,2,BAA,DJ66
1,6,2,ATV,CECT1462
1,7,2,CLA,CLI_26
1,8,2,ATP,Y5
1,9,2,ARH,CBS1592
1,10,2,ALE,CLQCA_17-060
1,11,2,BCK,HE011
1,12,2,AVL,RIB6008
1,13,2,BGD,CLIB552
1,14,2,BHN,CLIB1410
1,15,2,CGP,SG4
1,16,2,SACE_YCF,YJM1383
1,1,3,ACG,CLIB413_1b
1,2,3,ABP,CECT10109_1b
1,3,3,CEV,IFO_0289:4-3(b)
1,4,3,AAK,CBS4093a
1,5,3,BFM,EXF-6835
1,6,3,ASH,CLIB227
1,7,3,AVS,CH14
1,8,3,SACE_YBO,YJM1244
1,9,3,SACE_GAP,L1528
1,10,3,AFE,CBS8291
1,11,3,ARS,CBS2421
1,12,3,AVK,L-1194
1,13,3,BCP,HE016
1,14,3,BAL,HN6
1,15,3,BGF,CLIB554
1,16,3,CEQ,MUCL_30909-2C
1,1,4,ABM,CBS3093_1b
1,2,4,AAQ,CLIB272_2
1,3,4,AHM,CBS3093
1,4,4,CDK,CCY_21-4-93:6B
1,5,4,BNG,DBVPG1085
1,6,4,AVQ,CH10
1,7,4,CNK,SA.1.5.
1,8,4,AVC,CECT10711
1,9,4,ARQ,CBS2271
1,10,4,AMB,IY_03-5-30-1-1-1_(1)
1,11,4,BBF,CCY_21-4-102
1,12,4,BBI,CCY_21-4-120
1,13,4,BGR,CLIB564
1,14,4,BIF,DBVPG1076
1,15,4,CHB,Lib54
1,16,4,SACE_YCP,YJM1415
1,1,5,ACV,WE372_1b
1,2,5,ACM,Y9_4
1,3,5,BRM,DBVPG6590
1,4,5,AHN,CBS5635
1,5,5,BBG,CCY_21-4-106
1,6,5,AVN,CH02
1,7,5,AEC,CBS1248
1,8,5,SACE_YDB,YJM1463
1,9,5,SACE_MAL,UWOPS05_227_2
1,10,5,AFS,CBS1173
1,11,5,ASB,CBS4255
1,12,5,BAQ,HN19
1,13,5,BDV,CEY620
1,14,5,BCI,HE010
1,15,5,BGH,CLIB556
1,16,5,CFE,WLP099
1,1,6,ABT,DBVPG4651_1b
1,2,6,AAR,CLIB382_1b
1,3,6,AHS,CBS1419
1,4,6,CEM,CCY_21-4-89:7-3
1,5,6,BTB,77
1,6,6,AVT,CH13
1,7,6,ATC,YJM308
1,8,6,AVD,CECT10712
1,9,6,ART,CBS2808
1,10,6,AMF,ES2M03
1,11,6,BDS,CEY618
1,12,6,BDH,#59
1,13,6,BIP,DBVPG1125
1,14,6,BGK,CLIB558
1,15,6,NA,NA
1,16,6,CFT,UCD_40-346
1,1,7,ADF,YPS1009_b
1,2,7,ACR,DBVPG1339_1b
1,3,7,BVE,SM.9.1.BL7
1,4,7,AHQ,CBS440
1,5,7,CFC,WLP530
1,6,7,BEM,CLIB653
1,7,7,JLK,460
1,8,7,ATM,UC10
1,9,7,SACE_MAA,273614N
1,10,7,AGA,CBS3012
1,11,7,ASD,CBS4507
1,12,7,BDT,CEY619
1,13,7,AVM,RIB6009
1,14,7,BGV,CLIB649
1,15,7,BFS,CLIB546
1,16,7,SACE_YCC,YJM1355
1,1,8,ACH,CLIB483_1b
1,2,8,ABF,YJM436_1b
1,3,8,AIB,CBS2805
1,4,8,ASM,CLIB409
1,5,8,CIE,Ponton 13
1,6,8,JLQ,GUF54-A1
1,7,8,ATN,Y4
1,8,8,SACE_YBB,YJM978
1,9,8,ARV,CBS2965
1,10,8,ANT,RIB0003
1,11,8,BBH,CCY_21-4-119
1,12,8,BAT,PB94
1,13,8,BGS,CLIB631
1,14,8,BHC,CLIB1040
1,15,8,BMF,269521J
1,16,8,CGI,Me7
1,1,9,ADN,K1_1
1,2,9,ACS,I14_1b
1,3,9,AQT,CBS1230
1,4,9,AHR,CBS1227
1,5,9,CFM,WLP090
1,6,9,BRQ,DBVPG6695
1,7,9,CPB,995
1,8,9,AAN,CLIB274_1
1,9,9,APQ,CBS400
1,10,9,AGE,CBS1385
1,11,9,AEL,CBS1394
1,12,9,BCD,HE005
1,13,9,BCC,HE004
1,14,9,BKK,DBVPG1555
1,15,9,BLH,DBVPG1626
1,16,9,SACE_YBE,YJM987
1,1,10,AEQ,CBS1782
1,2,10,ABQ,DBVPG1788_1b
1,3,10,AIC,CBS2807
1,4,10,ABV,DBVPG6861
1,5,10,AEB,CBS1171
1,6,10,JLV,L1414
1,7,10,ATQ,CECT10497
1,8,10,SACE_MAB,378604X
1,9,10,AIF,CBS457
1,10,10,API,YS20
1,11,10,BBK,CCY_21-4-121
1,12,10,BBL,IMB-53
1,13,10,BFV,CLIB548
1,14,10,BKN,DBVPG1580
1,15,10,BMK,YJM990
1,16,10,CHF,Lib73
1,1,11,AAB,CBS422a
1,2,11,ADB,Y9J_1b
1,3,11,ALV,21-4-124
1,4,11,AHT,CBS1460
1,5,11,CFP,WLP565
1,6,11,JLA,MUCL42908
1,7,11,SACE_YBM,YJM1208
1,8,11,ADK,CLIB208_1
1,9,11,APR,CBS403
1,10,11,AHP,CBS5835
1,11,11,AAL,CBS1236-a
1,12,11,BAV,PB137
1,13,11,BCQ,HE020
1,14,11,BHB,CLIB889
1,15,11,BGN,CLIB561
1,16,11,CGR,VL5
1,1,12,AES,CBS4054
1,2,12,ACI,Y10_1b
1,3,12,AIE,CBS2910
1,4,12,AQH,CBS7957
1,5,12,BFE,EXF-5734
1,6,12,CMN,RIB0007
1,7,12,AVH,CECT1478
1,8,12,AQR,CBS1190
1,9,12,AKL,K12
1,10,12,BFH,EXF-5871
1,11,12,BCT,#05
1,12,12,BEB,CEY622
1,13,12,CDN,UCD_61-190-6A
1,14,12,BKQ,DBVPG1584
1,15,12,BNM,DBVPG1711
1,16,12,BPF,DBVPG1832
1,1,13,AEM,CBS2973
1,2,13,ADE,PW5_b
1,3,13,BDE,#14
1,4,13,CBK,1
1,5,13,BML,NCYC_2780
1,6,13,JLB,VKMY373
1,7,13,SACE_YCT,YJM1433
1,8,13,APV,CBS1250
1,9,13,AQB,CBS5112
1,10,13,AIP,MC6
1,11,13,AGG,CBS1480
1,12,13,BBM,908
1,13,13,BEA,CEY621
1,14,13,BHP,CLIB1411
1,15,13,CER,N34:2-4(a)
1,16,13,CHE,Lib71
